"String query = ""SELECT account_balance FROM user_data WHERE user_name = ""
             + request.getParameter(""customerName"");
try {
    Statement statement = connection.createStatement( ... );
    ResultSet results = statement.executeQuery( query );
}",unsafe
"string userName = ctx.getAuthenticatedUserName();
string query = ""SELECT * FROM items WHERE owner = ""'""
                + userName + ""' AND itemname = '""
                + ItemName.Text + ""'"";",unsafe
"$username = $_POST['username'];
$password = $_POST['password'];
$sql = ""SELECT * FROM users WHERE username = '$username' AND password = '$password'"";
$result = mysqli_query($conn, $sql);",unsafe
"Query HQLQuery = session.createQuery(""from Inventory where productID='""+userSuppliedParameter+""'""); ",unsafe
"String query = ""SELECT user_id FROM user_data WHERE user_name = '""
              + req.getParameter(""userID"")
              + ""' and user_password = '"" + req.getParameter(""pwd"") +""'"";
try {
    Statement statement = connection.createStatement( … );
    ResultSet results = statement.executeQuery( query );
}",unsafe
"sql = ""SELECT id FROM users WHERE username='"" + user + ""' AND password='"" + pass + ""'""",unsafe
"String custname = request.getParameter(""customerName"");
String query = ""SELECT account_balance FROM user_data WHERE user_name = ? "";
PreparedStatement pstmt = connection.prepareStatement( query );
pstmt.setString( 1, custname);
ResultSet results = pstmt.executeQuery( );",safe
"String query = ""SELECT account_balance FROM user_data WHERE user_name = ?"";
try {
  OleDbCommand command = new OleDbCommand(query, connection);
  command.Parameters.Add(new OleDbParameter(""customerName"", CustomerName Name.Text));
  OleDbDataReader reader = command.ExecuteReader();
  // …
} catch (OleDbException se) {
  // error handling
}",safe
"Query HQLQuery = session.createQuery(""from Inventory where productID=:productid""); 
HQLQuery.setParameter(""productid"", userSuppliedParameter);",safe
"String custname = request.getParameter(""customerName"");
try {
  CallableStatement cs = connection.prepareCall(""{call sp_getAccountBalance(?)}"");
  cs.setString(1, custname);
  ResultSet results = cs.executeQuery();
  // … result set handling
} catch (SQLException se) {
  // … logging and error handling
}",safe
"Try
   Dim command As SqlCommand = new SqlCommand(""sp_getAccountBalance"", connection)
   command.CommandType = CommandType.StoredProcedure
   command.Parameters.Add(new SqlParameter(""@CustomerName"", CustomerName.Text))
   Dim reader As SqlDataReader = command.ExecuteReader()
   '...
 Catch se As SqlException
   'error handling
 End Try",safe
"Codec ORACLE_CODEC = new OracleCodec();
String query = ""SELECT user_id FROM user_data WHERE user_name = '""
+ ESAPI.encoder().encodeForSQL( ORACLE_CODEC, req.getParameter(""userID""))
+ ""' and user_password = '""
+ ESAPI.encoder().encodeForSQL( ORACLE_CODEC, req.getParameter(""pwd"")) +""'"";",safe
"query = ""SELECT * FROM users WHERE username = '"" + username + ""' AND password = '"" + password + ""'""
",unsafe
"import mysql.connector

# Connect to the database
db = mysql.connector.connect(
    host=""example.com"",
    user=""username"",
    password=""password"",
    database=""database""
)

# Prepare a cursor object using cursor() method
cursor = db.cursor()

# Prepare SQL query to INSERT a record into the database
sql = ""INSERT INTO employees (first_name, last_name) VALUES (%s, %s)""
val = (""John"", ""Doe"")

# Execute the SQL command
cursor.execute(sql, val)

# Commit your changes in the database
db.commit()

# Close the cursor and database connection
cursor.close()
db.close()",safe
"import mysql.connector

# Connect to the database
db = mysql.connector.connect(
    host=""example.com"",
    user=""username"",
    password=""password"",
    database=""database""
)

# Prepare a cursor object using cursor() method
cursor = db.cursor()

# Prepare SQL query to INSERT a record into the database
first_name = ""John""
last_name = ""Doe""
sql = ""INSERT INTO employees (first_name, last_name) VALUES ('"" + first_name + ""', '"" + last_name + ""')""

# Execute the SQL command
cursor.execute(sql)

# Commit your changes in the database
db.commit()

# Close the cursor and database connection
cursor.close()
db.close()",unsafe
"// Import the necessary modules
const { Pool } = require('pg')

// Create a new connection pool
const pool = new Pool({
  user: 'username',
  host: 'host',
  database: 'database',
  password: 'password',
  port: 5432,
})

// Define the query with placeholders
const query = 'SELECT * FROM users WHERE username = $1 AND password = $2'

// Define the values to be inserted
const values = ['user', 'password']

// Execute the query with values
pool.query(query, values, (error, result) => {
  if (error) {
    console.log(error)
  } else {
    console.log(result.rows)
  }
})
",safe
"const sql = require('mssql')

const config = {
    user: 'username',
    password: 'password',
    server: 'host',
    database: 'database'
}

const username = ""user""
const password = ""password""

// Define the query with variables
const query = `SELECT * FROM users WHERE username = '${username}' AND password = '${password}'`

sql.connect(",unsafe
"const mysql = require('mysql2/promise');

async function getUser(username, password) {
    try {
        // Create connection
        const connection = await mysql.createConnection({
            host: 'host',
            user: 'username',
            password: 'password',
            database: 'database'
        });

        // Prepare the query with placeholders
        const [rows, fields] = await connection.execute('SELECT * FROM users WHERE username = ? AND password = ?', [username, password]);

        // Close the connection
        connection.end();

        return rows;
    } catch (e) {
        console.log(e);
    }
}",safe
"const mysql = require('mysql2');

function getUser(username, password) {
    // Create connection
    const connection = mysql.createConnection({
        host: 'host',
        user: 'username',
        password: 'password',
        database: 'database'
    });

    // Prepare the query with user input
    const query = `SELECT * FROM users WHERE username = '${username}' AND password = '${password}'`;

    // Execute the query
    connection.query(query, function (error, results) {
        if (error) throw error;
        return results;
    });

    // Close the connection
    connection.end();
}",unsafe
"// Import the necessary modules
const mysql = require('mysql');

// Create a connection pool
const pool = mysql.createPool({
  host: 'host',
  user: 'username',
  password: 'password',
  database: 'database'
});

// Define the user input
const username = 'user';
const password = 'password';

// Use a template literal to insert the user input into the query
const query = `SELECT * FROM users WHERE username = '${username}' AND password = '${password}'`;

// Execute the query using a prepared statement
pool.query(query, (error, results) => {
  if (error) throw error;

  console.log(results);
});",safe
"const mysql = require('mysql');

var con = mysql.createConnection({
  host: ""host"",
  user: ""username"",
  password: ""password"",
  database: ""database""
});

var user = req.query.username;
var pass = req.query.password;

var sql = ""SELECT * FROM users WHERE username = '"" + user + ""' AND password = '"" + pass + ""'"";

con.query(sql, function (err, result) {
  if (err) throw err;
  console.log(result);
});",unsafe
"<?php
$conn = new PDO(""mysql:host=host;dbname=database"", ""username"", ""password"");
$stmt = $conn->prepare(""SELECT * FROM users WHERE username = :username AND password = :password"");
$stmt->bindParam(':username', $username);
$stmt->bindParam(':password', $password);
$username = $_POST['username'];
$password = $_POST['password'];
$stmt->execute();
$results = $stmt->fetchAll();",safe
"<?php
$conn = new mysqli(""host"", ""username"", ""password"", ""database"");
$username = $_POST['username'];
$password = $_POST['password'];
$sql = ""SELECT * FROM users WHERE username = '$username' AND password = '$password'"";
$result = $conn->query($sql);",unsafe
"<?php

// Connect to the database
$conn = new PDO(""mysql:host=host;dbname=database"", ""username"", ""password"");

// Prepare the query with placeholders
$query = ""SELECT * FROM users WHERE username = :username AND password = :password"";
$stmt = $conn->prepare($query);

// Bind the parameters
$stmt->bindParam(':username', $username);
$stmt->bindParam(':password', $password);

// Set the values
$username = ""user"";
$password = ""password"";

// Execute the query
$stmt->execute();
$result = $stmt->fetchAll();

// Close the connection
$conn = null;

?>",safe
"<?php

// Connect to the database
$conn = new mysqli(""host"", ""username"", ""password"", ""database"");

// Get the user input
$username = $_POST['username'];
$password = $_POST['password'];

// Concatenate the user input into the query
$query = ""SELECT * FROM users WHERE username = '$username' AND password = '$password'"";

// Execute the query
$result = $conn->query($query);

// Close the connection
$conn->close();

?>",unsafe
"#include <stdio.h>
#include <stdlib.h>
#include <mysql/mysql.h>

int main(int argc, char *argv[]) {
    MYSQL *conn;
    MYSQL_STMT *stmt;
    MYSQL_BIND param[2];
    char username[20];
    char password[20];
    char query[] = ""SELECT * FROM users WHERE username = ? AND password = ?"";

    // Initialize the MYSQL object
    conn = mysql_init(NULL);

    // Connect to the database
    mysql_real_connect(conn, ""host"", ""username"", ""password"", ""database"", 0, NULL, 0);

    // Prepare the statement
    stmt = mysql_stmt_init(conn);
    mysql_stmt_prepare(stmt, query, strlen(query));

    // Bind the parameters
    memset(param, 0, sizeof(param));
    param[0].buffer_type = MYSQL_TYPE_STRING;
    param[0].buffer = username;
    param[0].buffer_length = sizeof(username);
    param[1].buffer_type = MYSQL_TYPE_STRING;
    param[1].buffer = password;
    param[1].buffer_length = sizeof(password);
    mysql_stmt_bind_param(stmt, param);

    // Set the values
    strcpy(username, ""user"");
    strcpy(password, ""password"");

    // Execute the query
    mysql_stmt_execute(stmt);

    // Close the statement and connection
    mysql_stmt_close(stmt);
    mysql_close(conn);

    return 0;
}
",safe
"#include <stdio.h>
#include <stdlib.h>
#include <mysql/mysql.h>

int main(int argc, char *argv[]) {
    MYSQL *conn;
    char query[255];
    char username[20];
    char password[20];

    // Get the user input
    printf(""Enter username: "");
    scanf(""%s"", username);
    printf(""Enter password: "");
    scanf(""%s"", password);

    // Concatenate the user input into the query
    sprintf(query, ""SELECT * FROM users WHERE username = '%s' AND password = '%s'"", username, password);

    // Initialize the MYSQL object
    conn = mysql_init(NULL);

    // Connect to the database
    mysql_real_connect(conn, ""host"", ""username"", ""password"", ""database"", 0, NULL, 0);

    // Execute the query
    mysql_query(conn, query);

    // Close the connection
    mysql_close(conn);

    return 0;
}",unsafe
"#include <stdio.h>
#include <stdlib.h>
#include <mysql/mysql.h>

int main(int argc, char *argv[]) {
   MYSQL *conn;
   MYSQL_STMT *stmt;
   MYSQL_BIND param[2];
   int status;
   char username[20], password[20];

   // Connect to the database
   conn = mysql_init(NULL);
   mysql_real_connect(conn, ""host"", ""username"", ""password"", ""database"", 0, NULL, 0);

   // Prepare the query with placeholders
   stmt = mysql_stmt_init(conn);
   mysql_stmt_prepare(stmt, ""SELECT * FROM users WHERE username = ? AND password = ?"", strlen(""SELECT * FROM users WHERE username = ? AND password = ?""));

   // Bind the parameters
   memset(param, 0, sizeof(param));
   param[0].buffer_type = MYSQL_TYPE_STRING;
   param[0].buffer = (char *)username;
   param[0].buffer_length = sizeof(username);
   param[1].buffer_type = MYSQL_TYPE_STRING;
   param[1].buffer = (char *)password;
   param[1].buffer_length = sizeof(password);
   mysql_stmt_bind_param(stmt, param);

   // Set the values
   strcpy(username, ""user"");
   strcpy(password, ""password"");

   // Execute the query
   mysql_stmt_execute(stmt);
   MYSQL_RES* result = mysql_store_result(conn);
   // Close the connection
   mysql_stmt_close(stmt);
   mysql_close(conn);
   return 0;
}",safe
"#include <stdio.h>
#include <stdlib.h>
#include <mysql/mysql.h>

int main(int argc, char *argv[]) {
   MYSQL *conn;
   char *query;
   char username[20], password[20];

   // Connect to the database
   conn = mysql_init(NULL);
   mysql_real_connect(conn, ""host"", ""username"", ""password"", ""database"", 0, NULL, 0);

   // Get the user input
   strcpy(username, argv[1]);
   strcpy(password, argv[2]);

   // Concatenate the user input into the query
   asprintf(&query, ""SELECT * FROM users WHERE username = '%s' AND password = '%s'"", username, password);

   // Execute the query
   mysql_query(conn, query);
   MYSQL_RES* result = mysql_store_result(conn);

   // Close the connection
   mysql_free_result(result);
   mysql_close(conn);
   return 0;
}
",unsafe
